file length: 10000
fixed file:  false
order replicate index language algorithm seconds
166 12 6 Go Binarytree 0.17833
167 12 13 Python Mergesort 0.43167
168 12 5 C++ Quicksort 0.13155
169 12 9 Java Binarytree 0.36605
170 12 10 Java Mergesort 0.38339
171 12 2 C# Quicksort 0.13573
172 12 1 C# Mergesort 0.09805
173 12 14 Python Quicksort 0.30240
174 12 12 Python Binarytree 0.39991
175 12 8 Go Quicksort 0.23646
176 12 7 Go Mergesort 0.16089
177 12 4 C++ Mergesort 0.07121
178 12 3 C++ Binarytree 0.09687
179 12 11 Java Quicksort 0.39895
180 12 0 C# Binarytree 0.14279
181 13 5 C++ Quicksort 0.10616
182 13 12 Python Binarytree 0.42119
183 13 10 Java Mergesort 0.33373
184 13 9 Java Binarytree 0.38400
185 13 8 Go Quicksort 0.15782
186 13 4 C++ Mergesort 0.11998
187 13 1 C# Mergesort 0.11730
188 13 0 C# Binarytree 0.14144
189 13 7 Go Mergesort 0.16740
190 13 3 C++ Binarytree 0.11261
191 13 2 C# Quicksort 0.10547
192 13 14 Python Quicksort 0.35403
193 13 13 Python Mergesort 0.37238
194 13 11 Java Quicksort 0.34692
195 13 6 Go Binarytree 0.23073
196 14 2 C# Quicksort 0.12618
197 14 1 C# Mergesort 0.09732
198 14 14 Python Quicksort 0.39096
199 14 4 C++ Mergesort 0.12783
200 14 13 Python Mergesort 0.37526
201 14 9 Java Binarytree 0.41208
202 14 5 C++ Quicksort 0.13545
203 14 7 Go Mergesort 0.20071
204 14 8 Go Quicksort 0.16749
205 14 10 Java Mergesort 0.39124
206 14 11 Java Quicksort 0.36411
207 14 12 Python Binarytree 0.39684
208 14 6 Go Binarytree 0.22629
209 14 3 C++ Binarytree 0.08830
210 14 0 C# Binarytree 0.09561
211 15 9 Java Binarytree 0.37200
212 15 2 C# Quicksort 0.09527
213 15 10 Java Mergesort 0.30600
214 15 11 Java Quicksort 0.30667
215 15 7 Go Mergesort 0.15757
216 15 0 C# Binarytree 0.09481
217 15 4 C++ Mergesort 0.07213
218 15 8 Go Quicksort 0.18816
219 15 13 Python Mergesort 0.46116
220 15 14 Python Quicksort 0.32466
221 15 5 C++ Quicksort 0.10600
222 15 3 C++ Binarytree 0.10069
223 15 1 C# Mergesort 0.12065
224 15 12 Python Binarytree 0.43512
225 15 6 Go Binarytree 0.22954
226 16 11 Java Quicksort 0.33195
227 16 2 C# Quicksort 0.14074
228 16 7 Go Mergesort 0.21469
229 16 6 Go Binarytree 0.17023
230 16 9 Java Binarytree 0.31695
231 16 14 Python Quicksort 0.39321
232 16 13 Python Mergesort 0.41108
233 16 1 C# Mergesort 0.12557
234 16 5 C++ Quicksort 0.11445
235 16 12 Python Binarytree 0.40461
236 16 4 C++ Mergesort 0.11455
237 16 0 C# Binarytree 0.10203
238 16 8 Go Quicksort 0.23318
239 16 10 Java Mergesort 0.37580
240 16 3 C++ Binarytree 0.11291
241 17 8 Go Quicksort 0.22889
242 17 0 C# Binarytree 0.09193
243 17 5 C++ Quicksort 0.07650
244 17 11 Java Quicksort 0.37867
245 17 6 Go Binarytree 0.15770
246 17 3 C++ Binarytree 0.09069
247 17 14 Python Quicksort 0.28891
248 17 4 C++ Mergesort 0.08632
249 17 2 C# Quicksort 0.10882
250 17 7 Go Mergesort 0.17232
251 17 10 Java Mergesort 0.36243
252 17 9 Java Binarytree 0.42448
253 17 12 Python Binarytree 0.51438
254 17 13 Python Mergesort 0.38208
255 17 1 C# Mergesort 0.12876
256 18 5 C++ Quicksort 0.09728
257 18 6 Go Binarytree 0.17249
258 18 9 Java Binarytree 0.30034
259 18 1 C# Mergesort 0.09589
260 18 2 C# Quicksort 0.09148
261 18 0 C# Binarytree 0.09294
262 18 8 Go Quicksort 0.14850
263 18 4 C++ Mergesort 0.07893
264 18 7 Go Mergesort 0.16413
265 18 3 C++ Binarytree 0.12145
266 18 14 Python Quicksort 0.34695
267 18 13 Python Mergesort 0.32641
268 18 12 Python Binarytree 0.31553
269 18 11 Java Quicksort 0.32836
